ROIid;ROIabbr;ROIname;ROIcolor
G_Frontal_Sup;lG_Fronta;166 6 178
G_Frontal_Sup;rG_Fronta;82 164 124
G_Frontal_Sup;lG_Fronta;104 82 156
G_Frontal_Sup;rG_Fronta;62 138 238
G_Frontal_Sup;lG_Fronta;200 140 60
G_Frontal_Sup;rG_Fronta;176 76 52
S_Sup_Frontal;lS_Sup_Fr;150 34 56
S_Sup_Frontal;rS_Sup_Fr;186 218 110
S_Sup_Frontal;lS_Sup_Fr;208 38 204
S_Sup_Frontal;rS_Sup_Fr;90 32 124
S_Sup_Frontal;lS_Sup_Fr;208 206 36
S_Sup_Frontal;rS_Sup_Fr;218 154 220
S_Sup_Frontal;lS_Sup_Fr;32 94 144
S_Sup_Frontal;rS_Sup_Fr;146 250 238
S_Sup_Frontal;lS_Sup_Fr;208 66 124
S_Sup_Frontal;rS_Sup_Fr;100 8 148
S_Sup_Frontal;lS_Sup_Fr;40 44 8
S_Sup_Frontal;rS_Sup_Fr;52 226 66
G_Frontal_Mid;lG_Fronta;38 12 166
G_Frontal_Mid;rG_Fronta;50 184 94
G_Frontal_Mid;lG_Fronta;114 118 140
G_Frontal_Mid;rG_Fronta;146 104 26
G_Frontal_Mid;lG_Fronta;248 126 208
G_Frontal_Mid;rG_Fronta;192 204 44
G_Frontal_Mid;lG_Fronta;218 196 194
G_Frontal_Mid;rG_Fronta;40 182 128
G_Frontal_Mid;lG_Fronta;232 254 230
G_Frontal_Mid;rG_Fronta;14 174 250
S_Inf_Frontal;lS_Inf_Fr;48 152 0
S_Inf_Frontal;rS_Inf_Fr;104 172 46
S_Inf_Frontal;lS_Inf_Fr;218 156 58
S_Inf_Frontal;rS_Inf_Fr;166 220 98
G_Frontal_Inf_Tri;lG_Fronta;230 184 200
G_Frontal_Inf_Tri;rG_Fronta;216 210 226
G_Frontal_Sup_Orb;lG_Fronta;184 160 120
G_Frontal_Sup_Orb;rG_Fronta;156 94 190
G_Frontal_Mid_Orb;lG_Fronta;216 122 252
G_Frontal_Mid_Orb;rG_Fronta;118 102 144
G_Frontal_Mid_Orb;lG_Fronta;208 0 170
G_Frontal_Mid_Orb;rG_Fronta;88 22 196
G_Frontal_Inf_Orb;lG_Fronta;102 80 102
G_Frontal_Inf_Orb;rG_Fronta;130 250 70
G_Frontal_Inf_Orb;lG_Fronta;144 68 138
G_Frontal_Inf_Orb;rG_Fronta;212 36 114
S_Orbital;lS_Orbita;10 80 64
S_Orbital;rS_Orbita;206 208 182
S_Orbital;lS_Orbita;44 54 206
S_Orbital;rS_Orbita;88 80 82
S_Olfactory;lS_Olfact;114 82 54
S_Olfactory;rS_Olfact;250 44 252
S_Precentral;lS_Precen;194 148 112
S_Precentral;rS_Precen;190 198 228
S_Precentral;lS_Precen;40 250 186
S_Precentral;rS_Precen;98 222 94
S_Precentral;lS_Precen;48 26 124
S_Precentral;rS_Precen;80 42 214
S_Precentral;lS_Precen;54 62 192
S_Precentral;rS_Precen;6 202 110
S_Precentral;lS_Precen;96 64 132
S_Precentral;rS_Precen;54 36 210
S_Precentral;lS_Precen;186 86 204
S_Precentral;rS_Precen;86 186 140
S_Rolando;lS_Roland;202 248 66
S_Rolando;rS_Roland;108 164 130
S_Rolando;lS_Roland;8 46 62
S_Rolando;rS_Roland;124 174 86
S_Rolando;lS_Roland;176 86 226
S_Rolando;rS_Roland;8 2 242
S_Rolando;lS_Roland;84 0 234
S_Rolando;rS_Roland;42 12 22
S_Postcentral;lS_Postce;246 188 234
S_Postcentral;rS_Postce;52 150 88
S_Postcentral;lS_Postce;40 8 208
S_Postcentral;rS_Postce;240 88 152
S_Postcentral;lS_Postce;0 10 136
S_Postcentral;rS_Postce;242 0 228
G_Parietal_Sup;lG_Pariet;46 218 100
G_Parietal_Sup;rG_Pariet;106 120 182
G_Parietal_Sup;lG_Pariet;68 98 184
G_Parietal_Sup;rG_Pariet;140 184 158
G_Parietal_Sup;lG_Pariet;220 208 58
G_Parietal_Sup;rG_Pariet;232 232 96
G_Parietal_Sup;lG_Pariet;200 52 196
G_Parietal_Sup;rG_Pariet;82 210 150
G_Parietal_Sup;lG_Pariet;214 178 120
G_Parietal_Sup;rG_Pariet;198 12 2
G_Supramarginal;lG_Supram;182 134 162
G_Supramarginal;rG_Supram;182 230 152
G_SupraMarginal;lG_SupraM;30 208 194
G_SupraMarginal;rG_SupraM;122 100 48
G_Supramarginal;lG_Supram;192 170 32
G_Supramarginal;rG_Supram;60 30 58
G_Supramarginal;lG_Supram;28 210 18
G_Supramarginal;rG_Supram;138 164 108
G_SupraMarginal;lG_SupraM;70 24 190
G_SupraMarginal;rG_SupraM;166 236 98
G_SupraMarginal;lG_SupraM;0 234 106
G_SupraMarginal;rG_SupraM;128 16 72
G_SupraMarginal;lG_SupraM;6 32 40
G_SupraMarginal;rG_SupraM;76 178 28
G_Angular;lG_Angula;150 8 194
G_Angular;rG_Angula;136 60 172
G_Angular;lG_Angula;58 164 58
G_Angular;rG_Angula;142 86 86
G_Angular;lG_Angula;38 168 196
G_Angular;rG_Angula;150 24 130
G_Parietal_Inf;lG_Pariet;174 4 234
G_Parietal_Inf;rG_Pariet;182 0 118
S_Intraparietal;lS_Intrap;68 190 186
S_Intraparietal;rS_Intrap;170 66 42
S_Intraparietal;lS_Intrap;120 38 26
S_Intraparietal;rS_Intrap;40 152 52
S_Intraparietal;lS_Intrap;26 74 246
S_Intraparietal;rS_Intrap;68 64 74
S_Intraoccipital;lS_Intrao;46 80 180
S_Intraoccipital;rS_Intrao;194 214 82
