ROIid,,,ROIabbr,,,ROIname,,,ROIcolor,,,,,,,,,,,,,
1,,,1_L,,,Brodmann 1 L,,,42,8,26,,,,,,,,,,,
2,,,1_R,,,Brodmann 1 R,,,158,144,12,,,,,,,,,,,
3,,,2_L,,,Brodmann 2 L,,,36,140,234,,,,,,,,,,,
4,,,2_R,,,Brodmann 2 R,,,198,214,54,,,,,,,,,,,
5,,,3_L,,,Brodmann 3 L,,,20,26,64,,,,,,,,,,,
6,,,3_R,,,Brodmann 3 R,,,132,90,98,,,,,,,,,,,
7,,,4_L,,,Brodmann 4 L,,,150,134,250,,,,,,,,,,,
8,,,4_R,,,Brodmann 4 R,,,66,2,168,,,,,,,,,,,
9,,,5_L,,,Brodmann 5 L,,,92,146,18,,,,,,,,,,,
10,,,5_R,,,Brodmann 5 R,,,174,26,20,,,,,,,,,,,
11,,,6_L,,,Brodmann 6 L,,,252,30,218,,,,,,,,,,,
12,,,6_R,,,Brodmann 6 R,,,12,24,120,,,,,,,,,,,
13,,,7_L,,,Brodmann 7 L,,,234,14,24,,,,,,,,,,,
14,,,7_R,,,Brodmann 7 R,,,126,46,16,,,,,,,,,,,
15,,,8_L,,,Brodmann 8 L,,,168,120,126,,,,,,,,,,,
16,,,8_R,,,Brodmann 8 R,,,170,64,142,,,,,,,,,,,
17,,,9_L,,,Brodmann 9 L,,,206,52,62,,,,,,,,,,,
18,,,9_R,,,Brodmann 9 R,,,244,76,146,,,,,,,,,,,
19,,,10_L,,,Brodmann 10 L,,,132,224,56,,,,,,,,,,,
20,,,10_R,,,Brodmann 10 R,,,214,188,40,,,,,,,,,,,
21,,,11_L,,,Brodmann 11 L,,,18,250,126,,,,,,,,,,,
22,,,11_R,,,Brodmann 11 R,,,186,70,98,,,,,,,,,,,
23,,,17_L,,,Brodmann 17 L,,,130,76,100,,,,,,,,,,,
24,,,17_R,,,Brodmann 17 R,,,156,108,248,,,,,,,,,,,
25,,,18_L,,,Brodmann 18 L,,,90,58,92,,,,,,,,,,,
26,,,18_R,,,Brodmann 18 R,,,166,22,64,,,,,,,,,,,
27,,,19_L,,,Brodmann 19 L,,,156,200,114,,,,,,,,,,,
28,,,19_R,,,Brodmann 19 R,,,146,104,112,,,,,,,,,,,
29,,,20_L,,,Brodmann 20 L,,,12,206,44,,,,,,,,,,,
30,,,20_R,,,Brodmann 20 R,,,190,144,54,,,,,,,,,,,
31,,,21_L,,,Brodmann 21 L,,,84,234,106,,,,,,,,,,,
32,,,21_R,,,Brodmann 21 R,,,204,100,50,,,,,,,,,,,
33,,,22_L,,,Brodmann 22 L,,,182,0,192,,,,,,,,,,,
34,,,22_R,,,Brodmann 22 R,,,212,126,22,,,,,,,,,,,
35,,,23_L,,,Brodmann 23 L,,,60,42,120,,,,,,,,,,,
36,,,23_R,,,Brodmann 23 R,,,170,140,220,,,,,,,,,,,
37,,,24_L,,,Brodmann 24 L,,,72,44,180,,,,,,,,,,,
38,,,24_R,,,Brodmann 24 R,,,136,14,142,,,,,,,,,,,
39,,,25_L,,,Brodmann 25 L,,,100,184,34,,,,,,,,,,,
40,,,25_R,,,Brodmann 25 R,,,168,150,68,,,,,,,,,,,
41,,,26_L,,,Brodmann 26 L,,,206,156,240,,,,,,,,,,,
42,,,26_R,,,Brodmann 26 R,,,24,36,234,,,,,,,,,,,
43,,,27_L,,,Brodmann 27 L,,,92,184,112,,,,,,,,,,,
44,,,27_R,,,Brodmann 27 R,,,118,52,186,,,,,,,,,,,
45,,,28_L,,,Brodmann 28 L,,,138,180,152,,,,,,,,,,,
46,,,28_R,,,Brodmann 28 R,,,142,74,106,,,,,,,,,,,
47,,,29_L,,,Brodmann 29 L,,,46,246,10,,,,,,,,,,,
48,,,29_R,,,Brodmann 29 R,,,212,60,178,,,,,,,,,,,
49,,,30_L,,,Brodmann 30 L,,,86,104,92,,,,,,,,,,,
50,,,30_R,,,Brodmann 30 R,,,94,184,78,,,,,,,,,,,
51,,,32_L,,,Brodmann 32 L,,,140,86,52,,,,,,,,,,,
52,,,32_R,,,Brodmann 32 R,,,244,50,200,,,,,,,,,,,
53,,,34_L,,,Brodmann 34 L,,,162,18,140,,,,,,,,,,,
54,,,34_R,,,Brodmann 34 R,,,42,238,192,,,,,,,,,,,
55,,,35_L,,,Brodmann 35 L,,,28,132,184,,,,,,,,,,,
56,,,35_R,,,Brodmann 35 R,,,44,186,148,,,,,,,,,,,
57,,,36_L,,,Brodmann 36 L,,,64,34,106,,,,,,,,,,,
58,,,36_R,,,Brodmann 36 R,,,82,136,16,,,,,,,,,,,
59,,,37_L,,,Brodmann 37 L,,,12,176,32,,,,,,,,,,,
60,,,37_R,,,Brodmann 37 R,,,0,230,142,,,,,,,,,,,
61,,,38_L,,,Brodmann 38 L,,,122,118,50,,,,,,,,,,,
62,,,38_R,,,Brodmann 38 R,,,16,200,154,,,,,,,,,,,
63,,,39_L,,,Brodmann 39 L,,,220,58,52,,,,,,,,,,,
64,,,39_R,,,Brodmann 39 R,,,166,222,174,,,,,,,,,,,
65,,,40_L,,,Brodmann 40 L,,,240,130,134,,,,,,,,,,,
66,,,40_R,,,Brodmann 40 R,,,58,244,84,,,,,,,,,,,
67,,,41_L,,,Brodmann 41 L,,,208,106,146,,,,,,,,,,,
68,,,41_R,,,Brodmann 41 R,,,66,112,194,,,,,,,,,,,
69,,,42_L,,,Brodmann 42 L,,,26,178,254,,,,,,,,,,,
70,,,42_R,,,Brodmann 42 R,,,230,128,224,,,,,,,,,,,
71,,,43_L,,,Brodmann 43 L,,,62,44,74,,,,,,,,,,,
72,,,43_R,,,Brodmann 43 R,,,198,218,38,,,,,,,,,,,
73,,,44_L,,,Brodmann 44 L,,,20,20,198,,,,,,,,,,,
74,,,44_R,,,Brodmann 44 R,,,202,228,144,,,,,,,,,,,
75,,,45_L,,,Brodmann 45 L,,,114,66,94,,,,,,,,,,,
76,,,45_R,,,Brodmann 45 R,,,16,160,170,,,,,,,,,,,
77,,,46_L,,,Brodmann 46 L,,,176,232,192,,,,,,,,,,,
78,,,46_R,,,Brodmann 46 R,,,92,188,188,,,,,,,,,,,
79,,,47_L,,,Brodmann 47 L,,,100,186,196,,,,,,,,,,,
80,,,47_R,,,Brodmann 47 R,,,164,72,56,,,,,,,,,,,
81,,,48_L,,,Brodmann 48 L,,,48,78,126,,,,,,,,,,,
82,,,48_R,,,Brodmann 48 R,,,244,116,122,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,,,2
